Save Tonight;Eagle-Eye Cherry;0;0;0;0;0;1;0;
Hotel California (Live);Eagles;0;0;0;0;0;0;1;
Boogie Wonderland;Earth, Wind & Fire with The Emotions;0;0;0;1;0;0;0;
Cool Kids;Echosmith;0;0;0;1;0;0;0;
Afterglow;Ed Sheeran;2;2;4;3;3;2;3;
Shape of You;Ed Sheeran;1;1;0;0;1;0;0;
Galway Girl;Ed Sheeran;0;2;0;0;0;1;0;
Photograph (Felix Jaehn Remix);Ed Sheeran;0;1;0;0;0;0;0;
Perfect;Ed Sheeran;0;0;2;0;0;0;1;
The A Team;Ed Sheeran;0;0;0;1;0;0;0;
I See Fire;Ed Sheeran;0;0;0;1;0;0;0;
Photograph;Ed Sheeran;0;0;0;0;0;0;1;
I Don't Care;Ed Sheeran & Justin Bieber;0;0;0;0;0;1;0;
Die Blonde mitn Mittelscheitl;Edmund;1;2;0;1;0;1;1;
Leiwand;Edmund;0;1;0;1;0;0;1;
Viva la mamma;Edoardo Bennato;0;0;0;0;0;0;1;
Blue (Da Ba Dee);Eiffel 65;0;0;0;0;0;0;1;
Dein Jahr;Einfach Flo;0;1;0;0;0;1;0;
Bella ciao (Hugel Remix);El Profesor;0;0;0;0;0;1;0;
Shine a Little Love;Electric Light Orchestra;0;1;0;0;0;0;0;
Ex's & Oh's;Elle King;0;0;0;0;0;1;0;
Love Me like You Do;Ellie Goulding;1;0;0;2;0;1;0;
Lights;Ellie Goulding;0;0;1;0;1;0;0;
Your Song;Ellie Goulding;0;0;0;2;0;0;0;
I Don't Wanna Go on with You like That;Elton John;1;0;0;0;0;1;0;
I'm Still Standing;Elton John;0;0;0;0;0;0;1;
Circle of Life;Elton John;0;0;0;0;0;0;1;
Love the Way You Lie;Eminem / Rihanna;0;1;0;2;0;0;0;
River;Eminem feat. Ed Sheeran;2;0;1;0;0;0;0;
Alle Dinge;Emma-Mo;0;0;0;0;0;1;0;
Súbeme la radio;Enrique Iglesias feat. Descemer Bueno, Zion & Lenn;0;1;0;1;0;0;2;
Hungry Eyes;Eric Carmen;0;0;0;1;0;0;0;
Più bella cosa;Eros Ramazzotti;0;0;0;0;1;0;0;
Cose della vita;Eros Ramazzotti / Tina Turner;1;0;0;0;0;0;0;
The Final Countdown;Europe;0;0;0;0;1;0;0;
Thorn in My Side;Eurythmics;0;2;0;0;0;0;0;
Sweet Dreams;Eurythmics;0;0;2;0;0;0;0;
Sweet Dreams (Live);Eurythmics;0;0;0;0;0;0;1;
Bring Me to Life;Evanescence;0;0;1;0;0;0;0;
